CustomerID,Cluster
C0001,1
C0002,3
C0003,4
C0004,0
C0005,3
C0006,4
C0007,3
C0008,0
C0009,2
C0010,3
C0011,1
C0012,0
C0013,0
C0014,2
C0015,2
C0016,1
C0017,0
C0018,4
C0019,1
C0020,3
C0021,0
C0022,1
C0023,1
C0024,1
C0025,2
C0026,4
C0027,3
C0028,0
C0029,3
C0030,3
C0031,3
C0032,2
C0033,2
C0034,4
C0035,3
C0036,3
C0037,4
C0038,3
C0039,4
C0040,4
C0041,0
C0042,2
C0043,2
C0044,3
C0045,0
C0046,0
C0047,1
C0048,1
C0049,1
C0050,3
C0051,0
C0052,3
C0053,4
C0054,0
C0055,1
C0056,1
C0057,4
C0058,2
C0059,0
C0060,2
C0061,2
C0062,3
C0063,3
C0064,4
C0065,0
C0066,3
C0067,1
C0068,0
C0069,1
C0070,3
C0071,3
C0072,3
C0073,3
C0074,3
C0075,0
C0076,1
C0077,3
C0078,2
C0079,4
C0080,3
C0081,1
C0082,0
C0083,2
C0084,0
C0085,3
C0086,3
C0087,0
C0088,1
C0089,3
C0090,1
C0091,4
C0092,3
C0093,0
C0094,3
C0095,3
C0096,4
C0097,2
C0098,1
C0099,0
C0100,1
C0101,0
C0102,0
C0103,1
C0104,0
C0105,4
C0106,3
C0107,1
C0108,1
C0109,0
C0110,3
C0111,3
C0112,3
C0113,0
C0114,4
C0115,3
C0116,1
C0117,4
C0118,1
C0119,2
C0120,3
C0121,2
C0122,0
C0123,2
C0124,0
C0125,3
C0126,1
C0127,1
C0128,2
C0129,3
C0130,2
C0131,3
C0132,3
C0133,3
C0134,4
C0135,3
C0136,4
C0137,1
C0138,4
C0139,1
C0140,3
C0141,0
C0142,3
C0143,0
C0144,3
C0145,0
C0146,1
C0147,1
C0148,4
C0149,4
C0150,2
C0151,3
C0152,1
C0153,4
C0154,1
C0155,0
C0156,0
C0157,1
C0158,1
C0159,3
C0160,3
C0161,1
C0162,0
C0163,4
C0164,1
C0165,0
C0166,3
C0167,3
C0168,4
C0169,4
C0170,4
C0171,4
C0172,1
C0173,0
C0174,1
C0175,0
C0176,4
C0177,3
C0178,1
C0179,1
C0180,2
C0181,1
C0182,4
C0183,1
C0184,1
C0185,3
C0186,3
C0187,1
C0188,0
C0189,1
C0190,3
C0191,1
C0192,1
C0193,3
C0194,1
C0195,4
C0196,4
C0197,3
C0198,2
C0199,3
C0200,4
